Configuration,Language,File Path,Successfully Extracted,Failure Reason
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/RecentStudySessions/RecentStudySessions.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/TodaysStudyStatistics/TodaysStudyStatistics.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ProfileInformationCard/ProfileInformationCard.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/leaderboard.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/auth.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/feed.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/settings/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/Avatar/Avatar.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/FindFriends/FindFriends.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/support/commands.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/signup/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/signup/SignUp.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/login/action.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/api.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/store/userInfo.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/e2e/badges.cy.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/utils/progress-bar.utils.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/friends/action.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/HomeHeader/HomeHeader.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ForgotPassword/ForgotPassword.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ProfileInformationCard/ProfileInformationCard.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/sessions.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/profile/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/leaderboard.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/time/format.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/InProgressBadges/InProgressBadges.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/StudySession/StudySession.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/FriendsHeader/FriendsHeader.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/BadgeStatistics/BadgeStatistics.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/feed.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/utils/api.client.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/friends/Friends.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/setupTests.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/store/profileInfo.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/Navbar/Navbar.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/FriendRequest/FriendRequest.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/AccountActions/AccountActions.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/SignUp/SignUp.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/profile/Profile.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/leaderboard/loader.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/validation/passwordValidation.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/StudyTips/StudyTips.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/api/profile.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/e2e/leaderboard.cy.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/cypress/e2e/navbar.cy.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/friends/Friends.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/UpdatePassword.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/study/loader.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/login/Login.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/login/action.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/badges.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/notifications/displayNotifications.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/vite.config.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/commands/create-session-interactive.command.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/friends/loader.spec.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/study.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/mocks/studySession.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/testing/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/testing/render.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/UpdatePassword/UpdatePassword.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/HomeActivityFeed/HomeActivityFeed.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/commands/login.command.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/leaderboard/Leaderboard.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/index.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/profileStatistics/sortBadgesByDate.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/ProfileStatistics/ProfileStatistics.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/InProgressBadges/InProgressBadges.spec.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/StudySession/StudySession.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/FriendsStatus/FriendsStatus.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/cli-frontend/src/utils/screen-advanced.utils.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/routes/profile/Profile.tsx,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/constants/settings.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/utilities/requests/requests.ts,true,""
.github/workflows/ci.yml:codeql,TypeScript,apps/frontend/src/components/BadgeStatistics/BadgeStatistics.spec.tsx,true,""
